Plot,Trt,Rep,Grass_mass,Forb_mass,SH_mass,SH_num,Grass_total,Total_biomass,ANPP_total
1,C,1,12.32,0.042,1.62,15,13.94,13.982,139.82
1,C,2,9.98,0,0,0,9.98,9.98,99.8
2,A,1,4.84,0.027,0.32,5,5.16,5.187,51.87
2,A,2,6.99,0.164,0.44,6,7.43,7.594,75.94
3,C,1,7.11,0.101,0.08,2,7.19,7.291,72.91
3,C,2,6.7,0.141,0.25,3,6.95,7.091,70.91
4,B,1,7.15,0.18,0,0,7.15,7.33,73.3
4,B,2,8.35,0,0,0,8.35,8.35,83.5
5,B,1,12.22,0,0.44,5,12.66,12.66,126.6
5,B,2,12.6,0.032,0.72,11,13.32,13.352,133.52
6,C,1,11.71,0,0.61,7,12.32,12.32,123.2
6,C,2,8.33,0,0.24,3,8.57,8.57,85.7
7,B,1,9.74,0.009,0.11,2,9.85,9.859,98.59
7,B,2,9.19,0.191,2.47,47,11.66,11.851,118.51
8,D,1,7.83,0,0,0,7.83,7.83,78.3
8,D,2,5.45,0.067,0,0,5.45,5.517,55.17
9,A,1,9.7,0.21,0,0,9.7,9.91,99.1
9,A,2,10.22,0.095,0.26,3,10.48,10.575,105.75
10,B,1,9.76,0,0.86,15,10.62,10.62,106.2
10,B,2,9.86,0.038,0.45,5,10.31,10.348,103.48
11,A,1,9.11,0.094,0.09,1,9.2,9.294,92.94
11,A,2,10.24,0.49,0.66,9,10.9,11.39,113.9
12,D,1,5.8,0.011,0,0,5.8,5.811,58.11
12,D,2,7.31,0,0.29,6,7.6,7.6,76
13,A,1,8.09,0.29,0.78,12,8.87,9.16,91.6
13,A,2,9.5,0.11,0.44,4,9.94,10.05,100.5
14,B,1,9.37,0.034,0.12,3,9.49,9.524,95.24
14,B,2,9,2.15,0.11,2,9.11,11.26,112.6
15,C,1,8.95,0.42,0.59,4,9.54,9.96,99.6
15,C,2,9.24,0.97,0.6,5,9.84,10.81,108.1
16,A,1,9.2,0.009,1.32,17,10.52,10.529,105.29
16,A,2,9.74,0.001,1.57,20,11.31,11.311,113.11
17,D,1,7.34,0.1,1.65,24,8.99,9.09,90.9
17,D,2,10.68,0.021,0.7,8,11.38,11.401,114.01
18,C,1,8.99,0,0.22,3,9.21,9.21,92.1
18,C,2,7.24,0.011,0,0,7.24,7.251,72.51
19,A,1,9.37,0,0.19,2,9.56,9.56,95.6
19,A,2,9.15,0.02,0.16,3,9.31,9.33,93.3
20,B,1,10.27,0.15,0.38,6,10.65,10.8,108
20,B,2,11.12,0,0.58,8,11.7,11.7,117
21,C,1,8.13,0.04,0.28,3,8.41,8.45,84.5
21,C,2,10.92,0.54,0.71,8,11.63,12.17,121.7
22,D,1,9.58,0.224,0.99,14,10.57,10.794,107.94
22,D,2,7.23,0.06,0.2,3,7.43,7.49,74.9
23,B,1,12.27,0.3,3,47,15.27,15.57,155.7
23,B,2,11.65,0,0.82,12,12.47,12.47,124.7
24,D,1,7.44,0.002,0.09,2,7.53,7.532,75.32
24,D,2,8.42,0.063,0.33,4,8.75,8.813,88.13
25,A,1,11.61,0.03,0.38,6,11.99,12.02,120.2
25,A,2,12.21,0.01,1.69,16,13.9,13.91,139.1
26,C,1,10.71,0,0.72,7,11.43,11.43,114.3
26,C,2,12.2,0.031,0.19,2,12.39,12.421,124.21
27,D,1,10.02,0.003,0.18,2,10.2,10.203,102.03
27,D,2,8.73,0,0.32,5,9.05,9.05,90.5
28,B,1,11.28,0.94,2.19,34,13.47,14.41,144.1
28,B,2,9.59,0.011,1.39,29,10.98,10.991,109.91
29,A,1,10.82,0.033,1.62,21,12.44,12.473,124.73
29,A,2,10.65,0.18,0.62,8,11.27,11.45,114.5
30,C,1,10.06,0.031,1.11,14,11.17,11.201,112.01
30,C,2,9.27,0.39,1.89,24,11.16,11.55,115.5
31,D,1,8.42,0.041,0.16,3,8.58,8.621,86.21
31,D,2,6.71,0.085,0.02,1,6.73,6.815,68.15
32,D,1,6.59,0,0.19,4,6.78,6.78,67.8
32,D,2,8.56,0,0.08,1,8.64,8.64,86.4
